INFO 2024-11-17 04:11:34,146 autoreload Watching for file changes with StatReloader
DEBUG 2024-11-17 04:11:34,353 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/django/utils/log.py first seen with mtime 1731727075.9654334
DEBUG 2024-11-17 04:11:34,356 autoreload File /usr/lib/python3.10/email/parser.py first seen with mtime 1726069656.0
DEBUG 2024-11-17 04:11:34,356 autoreload File /usr/lib/python3.10/wsgiref/headers.py first seen with mtime 1726069656.0
DEBUG 2024-11-17 04:11:34,357 autoreload File /usr/lib/python3.10/wsgiref/util.py first seen with mtime 1726069656.0
DEBUG 2024-11-17 04:11:34,358 autoreload File /usr/lib/python3.10/site.py first seen with mtime 1726069656.0
DEBUG 2024-11-17 04:11:34,358 autoreload File /usr/lib/python3.10/http/server.py first seen with mtime 1726069656.0
DEBUG 2024-11-17 04:11:34,358 autoreload File /usr/lib/python3.10/asyncio/events.py first seen with mtime 1726069656.0
DEBUG 2024-11-17 04:11:34,359 autoreload File /usr/lib/python3.10/os.py first seen with mtime 1726069656.0
DEBUG 2024-11-17 04:11:34,359 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/rest_framework/viewsets.py first seen with mtime 1731731966.4354308
DEBUG 2024-11-17 04:11:34,359 autoreload File /usr/lib/python3.10/heapq.py first seen with mtime 1726069656.0
DEBUG 2024-11-17 04:11:34,360 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/django/db/backends/postgresql/features.py first seen with mtime 1731727075.8954334
DEBUG 2024-11-17 04:11:34,360 autoreload File /usr/lib/python3.10/lib-dynload/_decimal.cpython-310-x86_64-linux-gnu.so first seen with mtime 1726069656.0
DEBUG 2024-11-17 04:11:34,360 autoreload File /usr/lib/python3.10/uuid.py first seen with mtime 1726069656.0
DEBUG 2024-11-17 04:11:34,361 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/sqlparse/__init__.py first seen with mtime 1731727074.7154334
DEBUG 2024-11-17 04:11:34,361 autoreload File /usr/lib/python3.10/posixpath.py first seen with mtime 1726069656.0
DEBUG 2024-11-17 04:11:34,361 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/django/conf/__init__.py first seen with mtime 1731727074.8654335
DEBUG 2024-11-17 04:11:34,361 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/django/contrib/admindocs/utils.py first seen with mtime 1731727075.1754334
DEBUG 2024-11-17 04:11:34,362 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/django/contrib/auth/hashers.py first seen with mtime 1731727075.2454333
DEBUG 2024-11-17 04:11:34,362 autoreload File /usr/lib/python3.10/importlib/util.py first seen with mtime 1726069656.0
DEBUG 2024-11-17 04:11:34,362 autoreload File /home/satriagitu/myenv/lib/python3.10/site-packages/django/db/backends/postgresql/schema.py first seen with mtime 1731727075.8954334
